Date, Calories, Protein
2025-02-02, 2280, 133
2025-02-03, 2195, 156
2025-02-04, 2213, 161
2025-02-05, 3238, 166
2025-02-06, 2141, 170
2025-02-07, 2318, 149
2025-02-08, 2268, 192
2025-02-09, 2240, 202
2025-02-10, 2218, 182
2025-02-11, 2043, 210
2025-02-12, 3193, 127
2025-02-13, 2138, 181
2025-02-14, 2234, 190
2025-02-15, 1980, 180
2025-02-16, 2095, 184
2025-02-17, 1893, 219
2025-02-18, 2000, 168
2025-02-19, 2023, 194
2025-02-20, 3300, 167
2025-02-21, 2000, 150
2025-02-22, 2212, 232
2025-02-23, 2103, 173
2025-02-24, 2170, 184
2025-02-25, 2141, 210
2025-02-26, 1938, 158
2025-02-27, 2217, 188
2025-02-28, 3200, 130
2025-03-01, 3000, 192
2025-03-02, 2125, 177
2025-03-03, 2288, 243
2025-03-04, 2064, 188
2025-03-05, 2069, 193
2025-03-06, 2390, 156
2025-03-07, 1839, 152
2025-03-08, 3087, 224
2025-03-09, 2146, 220
2025-03-10, 2108, 191
2025-03-11, 2303, 179
2025-03-12, 2280, 237
2025-03-13, 2142, 170
2025-03-14, 1885, 93
2025-03-15, 3350, 188
2025-03-16, 1684, 165
2025-03-17, 2310, 187
2025-03-18, 2132, 174
2025-03-19, 2510, 188
2025-03-20, 3186, 152
2025-03-21, 2288, 214
2025-03-22, 2272, 253
2025-03-23, 2128, 178
2025-03-24, 2193, 173
2025-03-25, 2195, 211
2025-03-26, 2028, 173
2025-03-27, 2835, 58
2025-03-28, 2078, 188
2025-03-29, 2261, 228
2025-03-30, 2276, 211
2025-03-31, 1867, 170
2025-04-01, 2241, 199
2025-04-02, 2193, 187
2025-04-03, 2763, 97
2025-04-04, 2033, 144
2025-04-05, 1876, 159
2025-04-06, 2310, 183
2025-04-07, 2237, 178
2025-04-08, 2145, 173
2025-04-09, 2218, 172
2025-04-10, 2769, 177
2025-04-11, 3225, 164
2025-04-12, 3200, 110
2025-04-13, 2422, 188
2025-04-14, 1940, 182
2025-04-15, 2220, 125
2025-04-16, 2155, 179
2025-04-17, 2249, 179
2025-04-18, 2342, 192
2025-04-19, 2035, 167
2025-04-20, 2500, 130
2025-04-21, 2153, 185